00000001 00000001
00000001 007FFFFF
00000001 00800000
00000001 7F7FFFFF
00000001 80000001
00000001 807FFFFF
00000001 80800000
00000001 FF7FFFFF
007FFFFF 00000001
007FFFFF 007FFFFF
007FFFFF 00800000
007FFFFF 7F7FFFFF
007FFFFF 80000001
007FFFFF 807FFFFF
007FFFFF 80800000
007FFFFF FF7FFFFF
00800000 00000001
00800000 007FFFFF
00800000 00800000
00800000 7F7FFFFF
00800000 80000001
00800000 807FFFFF
00800000 80800000
00800000 FF7FFFFF
7F7FFFFF 00000001
7F7FFFFF 007FFFFF
7F7FFFFF 00800000
7F7FFFFF 7F7FFFFF
7F7FFFFF 80000001
7F7FFFFF 807FFFFF
7F7FFFFF 80800000
7F7FFFFF FF7FFFFF
80000001 00000001
80000001 007FFFFF
80000001 00800000
80000001 7F7FFFFF
80000001 80000001
80000001 807FFFFF
80000001 80800000
80000001 FF7FFFFF
807FFFFF 00000001
807FFFFF 007FFFFF
807FFFFF 00800000
807FFFFF 7F7FFFFF
807FFFFF 80000001
807FFFFF 807FFFFF
807FFFFF 80800000
807FFFFF FF7FFFFF
80800000 00000001
80800000 007FFFFF
80800000 00800000
80800000 7F7FFFFF
80800000 80000001
80800000 807FFFFF
80800000 80800000
80800000 FF7FFFFF
FF7FFFFF 00000001
FF7FFFFF 007FFFFF
FF7FFFFF 00800000
FF7FFFFF 7F7FFFFF
FF7FFFFF 80000001
FF7FFFFF 807FFFFF
FF7FFFFF 80800000
FF7FFFFF FF7FFFFF
