00000000 00000000
00000000 80000000
00000000 7F800000
00000000 FF800000
00000000 7F800005
00000000 FF800005
00000000 7FC00005
00000000 FFC00005
00000000 3F800000
80000000 00000000
80000000 80000000
80000000 7F800000
80000000 FF800000
80000000 7F800005
80000000 FF800005
80000000 7FC00005
80000000 FFC00005
80000000 3F800000
7F800000 00000000
7F800000 80000000
7F800000 7F800000
7F800000 FF800000
7F800000 7F800005
7F800000 FF800005
7F800000 7FC00005
7F800000 FFC00005
7F800000 3F800000
FF800000 00000000
FF800000 80000000
FF800000 7F800000
FF800000 FF800000
FF800000 7F800005
FF800000 FF800005
FF800000 7FC00005
FF800000 FFC00005
FF800000 3F800000
7F800005 00000000
7F800005 80000000
7F800005 7F800000
7F800005 FF800000
7F800005 7F800005
7F800005 FF800005
7F800005 7FC00005
7F800005 FFC00005
7F800005 3F800000
FF800005 00000000
FF800005 80000000
FF800005 7F800000
FF800005 FF800000
FF800005 7F800005
FF800005 FF800005
FF800005 7FC00005
FF800005 FFC00005
FF800005 3F800000
7FC00005 00000000
7FC00005 80000000
7FC00005 7F800000
7FC00005 FF800000
7FC00005 7F800005
7FC00005 FF800005
7FC00005 7FC00005
7FC00005 FFC00005
7FC00005 3F800000
FFC00005 00000000
FFC00005 80000000
FFC00005 7F800000
FFC00005 FF800000
FFC00005 7F800005
FFC00005 FF800005
FFC00005 7FC00005
FFC00005 FFC00005
FFC00005 3F800000
3F800000 00000000
3F800000 80000000
3F800000 7F800000
3F800000 FF800000
3F800000 7F800005
3F800000 FF800005
3F800000 7FC00005
3F800000 FFC00005
